,Time,T+1,T+2,T+3
0,2020-04-01 03:00:00,450.443438,450.80563000000006,452.073302
1,2020-04-01 04:00:00,450.80563000000006,452.073302,452.480768
2,2020-04-01 05:00:00,452.073302,452.480768,447.95336800000007
3,2020-04-01 06:00:00,452.480768,447.95336800000007,444.87473600000004
4,2020-04-01 07:00:00,447.95336800000007,444.87473600000004,432.06219400000003
5,2020-04-01 08:00:00,444.87473600000004,432.06219400000003,423.23376400000006
6,2020-04-01 09:00:00,432.06219400000003,423.23376400000006,424.81835400000006
7,2020-04-01 10:00:00,423.23376400000006,424.81835400000006,430.65870000000007
8,2020-04-01 11:00:00,424.81835400000006,430.65870000000007,428.304452
9,2020-04-01 12:00:00,430.65870000000007,428.304452,424.36561400000005
10,2020-04-01 13:00:00,428.304452,424.36561400000005,432.379112
11,2020-04-01 14:00:00,424.36561400000005,432.379112,442.701584
12,2020-04-01 15:00:00,432.379112,442.701584,455.60467400000005
13,2020-04-01 16:00:00,442.701584,455.60467400000005,458.86440200000004
14,2020-04-01 17:00:00,455.60467400000005,458.86440200000004,460.44899200000003
15,2020-04-01 18:00:00,458.86440200000004,460.44899200000003,459.67933400000004
16,2020-04-01 19:00:00,460.44899200000003,459.67933400000004,460.403718
17,2020-04-01 20:00:00,459.67933400000004,460.403718,460.08680000000004
18,2020-04-01 21:00:00,460.403718,460.08680000000004,460.04152600000003
19,2020-04-01 22:00:00,460.08680000000004,460.04152600000003,461.173376
20,2020-04-01 23:00:00,460.04152600000003,461.173376,461.580842
21,2020-04-02 00:00:00,461.173376,461.580842,462.12413000000004
22,2020-04-02 01:00:00,461.580842,462.12413000000004,460.99228000000005
23,2020-04-02 02:00:00,462.12413000000004,460.99228000000005,458.59275800000006
24,2020-04-02 03:00:00,460.99228000000005,458.59275800000006,456.60070200000007
25,2020-04-02 04:00:00,458.59275800000006,456.60070200000007,456.19323600000007
26,2020-04-02 05:00:00,456.60070200000007,456.19323600000007,451.62056200000006
27,2020-04-02 06:00:00,456.19323600000007,451.62056200000006,447.00261400000005
28,2020-04-02 07:00:00,451.62056200000006,447.00261400000005,446.86679200000003
29,2020-04-02 08:00:00,447.00261400000005,446.86679200000003,423.14321600000005
30,2020-04-02 09:00:00,446.86679200000003,423.14321600000005,401.321148
31,2020-04-02 10:00:00,423.14321600000005,401.321148,426.5840400000001
32,2020-04-02 11:00:00,401.321148,426.5840400000001,428.89301400000005
33,2020-04-02 12:00:00,426.5840400000001,428.89301400000005,433.46568800000006
34,2020-04-02 13:00:00,428.89301400000005,433.46568800000006,436.58959400000003
35,2020-04-02 14:00:00,433.46568800000006,436.58959400000003,441.93192600000003
36,2020-04-02 15:00:00,436.58959400000003,441.93192600000003,447.00261400000005
37,2020-04-02 16:00:00,441.93192600000003,447.00261400000005,448.54193000000004
38,2020-04-02 17:00:00,447.00261400000005,448.54193000000004,449.40213600000004
39,2020-04-02 18:00:00,448.54193000000004,449.40213600000004,451.71111
40,2020-04-02 19:00:00,449.40213600000004,451.71111,453.02405600000003
41,2020-04-02 20:00:00,451.71111,453.02405600000003,452.888234
42,2020-04-02 21:00:00,453.02405600000003,452.888234,453.3409740000001
43,2020-04-02 22:00:00,452.888234,453.3409740000001,455.28775600000006
44,2020-04-02 23:00:00,453.3409740000001,455.28775600000006,455.51412600000003
45,2020-04-03 00:00:00,455.28775600000006,455.51412600000003,456.73652400000003
46,2020-04-03 01:00:00,455.51412600000003,456.73652400000003,455.96686600000004
47,2020-04-03 02:00:00,456.73652400000003,455.96686600000004,455.96686600000004
48,2020-04-03 03:00:00,455.96686600000004,455.96686600000004,455.33303
49,2020-04-03 04:00:00,455.96686600000004,455.33303,453.793714
50,2020-04-03 05:00:00,455.33303,453.793714,444.87473600000004
51,2020-04-03 06:00:00,453.793714,444.87473600000004,434.14479800000004
52,2020-04-03 07:00:00,444.87473600000004,434.14479800000004,413.59040200000004
53,2020-04-03 08:00:00,434.14479800000004,413.59040200000004,395.390254
54,2020-04-03 09:00:00,413.59040200000004,395.390254,413.499854
55,2020-04-03 10:00:00,395.390254,413.499854,429.798494
56,2020-04-03 11:00:00,413.499854,429.798494,433.42041400000005
57,2020-04-03 12:00:00,429.798494,433.42041400000005,440.12096600000007
58,2020-04-03 13:00:00,433.42041400000005,440.12096600000007,443.69761200000005
59,2020-04-03 14:00:00,440.12096600000007,443.69761200000005,447.500628
60,2020-04-03 15:00:00,443.69761200000005,447.500628,447.81754600000005
61,2020-04-03 16:00:00,447.500628,447.81754600000005,450.62453400000004
62,2020-04-03 17:00:00,447.81754600000005,450.62453400000004,452.25439800000004
63,2020-04-03 18:00:00,450.62453400000004,452.25439800000004,453.25042600000006
64,2020-04-03 19:00:00,452.25439800000004,453.25042600000006,454.02008400000005
65,2020-04-03 20:00:00,453.25042600000006,454.02008400000005,457.32508600000006
66,2020-04-03 21:00:00,454.02008400000005,457.32508600000006,457.95892200000003
67,2020-04-03 22:00:00,457.32508600000006,457.95892200000003,457.506182
68,2020-04-03 23:00:00,457.95892200000003,457.506182,456.41960600000004
69,2020-04-04 00:00:00,457.506182,456.41960600000004,457.37036
70,2020-04-04 01:00:00,456.41960600000004,457.37036,456.147962
71,2020-04-04 02:00:00,457.37036,456.147962,456.91762000000006
72,2020-04-04 03:00:00,456.147962,456.91762000000006,458.77385400000003
73,2020-04-04 04:00:00,456.91762000000006,458.77385400000003,451.665836
74,2020-04-04 05:00:00,458.77385400000003,451.665836,445.28220200000004
75,2020-04-04 06:00:00,451.665836,445.28220200000004,444.738914
