,Time,OutTemp,OutRH,OutPAR,WindSpeed,WindDir,TimeStep
6277,2020-12-18 13:00:00,22.013333333333332,71.185,867.1333333333333,8.516666666666667,72.83333333333333,202012181325.0
6278,2020-12-18 14:00:00,20.57,76.31166666666667,417.5,8.754999999999999,12.666666666666664,202012181425.0
6279,2020-12-18 15:00:00,17.896666666666665,83.48333333333333,166.81666666666666,8.0585,23.16666666666667,202012181525.0
6280,2020-12-18 16:00:00,16.036666666666665,86.7,73.05166666666669,7.863666666666666,25.83333333333333,202012181625.0
6281,2020-12-18 17:00:00,15.63833333333333,91.2,5.7346666666666675,7.9236666666666675,27.66666666666667,202012181725.0
6282,2020-12-18 18:00:00,14.621666666666668,93.11666666666666,1.1836666666666666,7.642833333333333,78.66666666666667,202012181825.0
6283,2020-12-18 19:00:00,14.895,92.63333333333333,1.2503333333333335,7.521000000000001,20.0,202012181925.0
6284,2020-12-18 20:00:00,14.79,92.15000000000002,1.1951666666666665,7.047000000000001,127.33333333333331,202012182025.0
6285,2020-12-18 21:00:00,14.703333333333333,92.95,0.9971666666666666,7.467166666666666,127.66666666666669,202012182125.0
6286,2020-12-18 22:00:00,14.585,92.83333333333331,1.0036666666666665,7.382166666666666,13.5,202012182225.0
6287,2020-12-18 23:00:00,14.605,91.11666666666667,1.2100000000000002,6.821166666666667,19.5,202012182325.0
6288,2020-12-19 00:00:00,14.836666666666664,89.5,1.2771666666666666,6.9671666666666665,79.16666666666667,202012190025.0
6289,2020-12-19 01:00:00,14.920000000000002,89.48333333333332,1.1865,7.338166666666668,132.0,202012190125.0
6290,2020-12-19 02:00:00,14.225,92.7,0.9198333333333334,7.919499999999998,22.0,202012190225.0
6291,2020-12-19 03:00:00,14.321666666666667,93.61666666666667,0.93,8.793333333333335,19.83333333333333,202012190325.0
6292,2020-12-19 04:00:00,14.616666666666667,92.03333333333336,1.217,8.986333333333333,21.33333333333333,202012190425.0
6293,2020-12-19 05:00:00,13.806666666666667,88.35000000000002,1.351,9.813333333333334,30.0,202012190525.0
6294,2020-12-19 06:00:00,13.281666666666665,90.91666666666669,3.2351666666666667,9.398333333333332,21.0,202012190625.0
6295,2020-12-19 07:00:00,13.345,89.68333333333334,55.76333333333333,9.409999999999998,18.666666666666668,202012190725.0
6296,2020-12-19 08:00:00,13.741666666666667,85.96666666666665,310.6166666666666,10.08,33.5,202012190825.0
6297,2020-12-19 09:00:00,15.121666666666664,75.86166666666666,675.6333333333333,10.008333333333336,28.16666666666667,202012190925.0
6298,2020-12-19 10:00:00,17.633333333333333,71.63166666666667,1079.8333333333333,10.07,30.33333333333333,202012191025.0
6299,2020-12-19 11:00:00,18.863333333333326,66.93833333333333,1286.0,10.328333333333333,24.83333333333333,202012191125.0
6300,2020-12-19 12:00:00,19.151666666666667,63.02666666666667,1366.1666666666667,10.375666666666666,24.66666666666667,202012191225.0
6301,2020-12-19 13:00:00,20.14333333333333,60.70499999999999,1625.166666666667,10.423,22.0,202012191325.0
6302,2020-12-19 14:00:00,18.941666666666666,64.23666666666666,1008.55,10.470333333333333,18.83333333333333,202012191425.0
6303,2020-12-19 15:00:00,17.63,66.76333333333334,556.05,10.517666666666667,25.16666666666667,202012191525.0
6304,2020-12-19 16:00:00,14.875,67.99333333333333,209.65,10.565,23.66666666666667,202012191625.0
6305,2020-12-19 17:00:00,13.996666666666668,71.8,23.322499999999994,9.865,23.66666666666667,202012191725.0
6306,2020-12-19 18:00:00,14.416666666666664,73.85000000000002,1.8176666666666663,9.235,23.5,202012191825.0
6307,2020-12-19 19:00:00,16.14833333333333,73.71333333333334,2.1675,8.658333333333333,29.16666666666667,202012191925.0
6308,2020-12-19 20:00:00,16.0,73.91833333333334,2.204333333333333,8.353,27.5,202012192025.0
6309,2020-12-19 21:00:00,15.97,74.11166666666666,2.0741666666666663,8.593000000000002,35.166666666666664,202012192125.0
6310,2020-12-19 22:00:00,15.996666666666668,73.49333333333333,1.6556666666666666,7.1610000000000005,24.33333333333333,202012192225.0
6311,2020-12-19 23:00:00,15.815,73.48333333333333,1.5103333333333333,6.911833333333332,15.833333333333336,202012192325.0
6312,2020-12-20 00:00:00,15.8,72.71499999999997,1.4270000000000005,6.690666666666666,28.83333333333333,202012200025.0
6313,2020-12-20 01:00:00,15.728333333333332,72.44833333333334,1.402,6.5843333333333325,12.833333333333336,202012200125.0
6314,2020-12-20 02:00:00,16.040000000000006,72.27166666666666,1.3871666666666669,7.122333333333334,23.5,202012200225.0
6315,2020-12-20 03:00:00,16.466666666666665,72.33500000000002,1.3036666666666668,6.886833333333335,76.5,202012200325.0
6316,2020-12-20 04:00:00,16.765,73.31833333333333,1.2443333333333335,7.208333333333332,25.83333333333333,202012200425.0
6317,2020-12-20 05:00:00,16.976666666666667,73.24333333333334,1.2266666666666666,7.504,20.0,202012200525.0
6318,2020-12-20 06:00:00,17.031666666666666,73.35333333333334,3.908833333333333,8.0795,19.33333333333333,202012200625.0
6319,2020-12-20 07:00:00,17.083333333333332,74.14999999999998,102.66166666666668,8.266166666666667,26.16666666666667,202012200725.0
6320,2020-12-20 08:00:00,18.175,68.28166666666668,744.4333333333334,8.536666666666667,78.83333333333333,202012200825.0
6321,2020-12-20 09:00:00,19.521666666666665,64.14333333333333,1175.1666666666667,9.255,23.16666666666667,202012200925.0
6322,2020-12-20 10:00:00,20.485,60.30666666666667,1805.5,9.431666666666667,30.16666666666667,202012201025.0
6323,2020-12-20 11:00:00,21.153333333333336,57.62666666666666,2104.0,9.795,22.5,202012201125.0
6324,2020-12-20 12:00:00,21.068333333333328,55.91333333333333,1405.166666666667,9.803333333333333,19.5,202012201225.0
6325,2020-12-20 13:00:00,19.258333333333333,57.731666666666676,978.2,10.175,134.5,202012201325.0
6326,2020-12-20 14:00:00,20.448333333333334,56.276666666666664,1035.8333333333333,9.105,73.16666666666667,202012201425.0
6327,2020-12-20 15:00:00,19.093333333333334,59.24500000000001,668.9833333333332,9.311666666666667,18.666666666666668,202012201525.0
6328,2020-12-20 16:00:00,17.385,64.99499999999999,208.3033333333333,8.953333333333333,16.0,202012201625.0
6329,2020-12-20 17:00:00,13.498333333333335,70.23833333333333,11.943833333333336,8.506666666666666,71.0,202012201725.0
6330,2020-12-20 18:00:00,13.576666666666664,70.98166666666667,0.6061666666666666,8.038833333333333,23.16666666666667,202012201825.0
6331,2020-12-20 19:00:00,13.176666666666668,70.08666666666666,0.6733333333333333,7.736499999999999,22.83333333333333,202012201925.0
6332,2020-12-20 20:00:00,13.278333333333334,69.31666666666666,0.7216666666666666,7.177833333333332,25.83333333333333,202012202025.0
6333,2020-12-20 21:00:00,13.148333333333335,69.715,0.7761666666666667,6.971166666666668,16.5,202012202125.0
6334,2020-12-20 22:00:00,16.063333333333336,69.53833333333334,0.8435,6.503333333333333,80.83333333333333,202012202225.0
6335,2020-12-20 23:00:00,16.611666666666668,69.21,0.8708333333333332,5.728666666666666,11.666666666666664,202012202325.0
6336,2020-12-21 00:00:00,16.566666666666666,69.94666666666667,0.8753333333333334,5.212666666666666,72.0,202012210025.0
6337,2020-12-21 01:00:00,16.656666666666666,68.43666666666667,0.9266666666666667,5.242166666666667,9.666666666666666,202012210125.0
6338,2020-12-21 02:00:00,16.666666666666668,68.84666666666668,0.9096666666666668,5.998833333333334,23.16666666666667,202012210225.0
6339,2020-12-21 03:00:00,16.474999999999998,70.96,0.8831666666666665,5.750000000000001,19.166666666666668,202012210325.0
6340,2020-12-21 04:00:00,16.348333333333333,73.435,0.8218333333333333,6.286833333333332,27.33333333333333,202012210425.0
6341,2020-12-21 05:00:00,16.208333333333336,75.25333333333333,0.7494999999999999,6.372999999999999,17.0,202012210525.0
6342,2020-12-21 06:00:00,16.19,75.15833333333333,3.5421666666666667,6.010000000000002,21.5,202012210625.0
6343,2020-12-21 07:00:00,16.163333333333334,75.305,58.925,6.028666666666666,24.16666666666667,202012210725.0
6344,2020-12-21 08:00:00,16.395,74.91333333333334,176.0666666666667,5.5615,18.33333333333333,202012210825.0
6345,2020-12-21 09:00:00,17.111666666666665,71.96333333333331,384.9666666666667,5.081666666666667,16.833333333333332,202012210925.0
6346,2020-12-21 10:00:00,17.55,69.71666666666665,667.7333333333332,5.392333333333332,12.833333333333336,202012211025.0
6347,2020-12-21 11:00:00,18.855,65.13166666666667,533.5,5.063833333333333,67.33333333333333,202012211125.0
