,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
95,2020/4/1 15:50,10,0,100,70,100,100,2.02004E+11
96,2020/4/1 16:00,10,0,100,70,100,100,2.02004E+11
97,2020/4/1 16:10,10,0,100,70,100,100,2.02004E+11
98,2020/4/1 16:20,10,0,100,70,100,100,2.02004E+11
99,2020/4/1 16:30,10,0,100,70,100,100,2.02004E+11
100,2020/4/1 16:40,10,0,100,70,100,100,2.02004E+11
101,2020/4/1 16:50,10,0,100,70,100,100,2.02004E+11
102,2020/4/1 17:00,10,0,100,70,100,100,2.02004E+11
103,2020/4/1 17:10,10,0,100,70,100,100,2.02004E+11
104,2020/4/1 17:20,10,0,100,70,100,100,2.02004E+11
105,2020/4/1 17:30,10,0,100,70,100,100,2.02004E+11
106,2020/4/1 17:40,10,0,100,70,100,100,2.02004E+11
107,2020/4/1 17:50,10,0,100,70,100,100,2.02004E+11
108,2020/4/1 18:00,10,0,100,70,100,100,2.02004E+11
109,2020/4/1 18:10,10,0,100,70,100,100,2.02004E+11
110,2020/4/1 18:20,10,0,0,10,100,100,2.02004E+11
111,2020/4/1 18:30,10,0,0,10,100,100,2.02004E+11
112,2020/4/1 18:40,10,0,0,10,100,100,2.02004E+11
113,2020/4/1 18:50,10,0,0,10,100,100,2.02004E+11
114,2020/4/1 19:00,10,0,0,10,100,100,2.02004E+11
115,2020/4/1 19:10,10,0,0,10,100,100,2.02004E+11
116,2020/4/1 19:20,10,0,0,10,100,100,2.02004E+11
117,2020/4/1 19:30,10,0,0,10,100,100,2.02004E+11
118,2020/4/1 19:40,10,0,0,10,100,100,2.02004E+11
119,2020/4/1 19:50,10,0,0,10,100,100,2.02004E+11
120,2020/4/1 20:00,10,0,0,10,100,100,2.02004E+11
121,2020/4/1 20:10,10,0,0,10,100,100,2.02004E+11
122,2020/4/1 20:20,10,0,0,10,100,100,2.02004E+11
123,2020/4/1 20:30,10,0,0,10,100,100,2.02004E+11
124,2020/4/1 20:40,10,0,0,10,100,100,2.02004E+11
