,Report_time,GHID,Reportid,TimeID,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,dsf,f04,292.59,0.00,294.09,0.23,1013.40,272.29,1013.48,91.00
1,2020040101,shgb,dsf,f04,292.18,0.00,293.66,0.22,1013.88,275.09,1013.92,91.08
2,2020040102,shgb,dsf,f04,291.25,0.00,293.02,0.25,1014.44,266.48,1014.48,89.33
3,2020040103,shgb,dsf,f04,290.42,134.29,293.44,0.42,1014.48,278.66,1014.50,82.52
4,2020040104,shgb,dsf,f04,290.25,370.06,295.61,0.79,1014.91,284.25,1014.94,71.28
5,2020040105,shgb,dsf,f04,289.93,245.81,295.10,0.74,1015.52,269.63,1015.53,72.11
6,2020040106,shgb,dsf,f04,289.85,751.08,298.34,1.34,1015.29,287.40,1015.30,58.80
7,2020040107,shgb,dsf,f04,289.93,574.93,297.33,1.13,1015.56,270.46,1015.55,62.84
8,2020040108,shgb,dsf,f04,289.39,898.32,298.67,1.45,1014.86,286.22,1014.86,56.00
9,2020040109,shgb,dsf,f04,289.08,857.33,298.17,1.39,1014.27,285.97,1014.29,56.61
10,2020040110,shgb,dsf,f04,288.56,829.85,297.80,1.38,1013.89,289.06,1013.91,55.91
11,2020040111,shgb,dsf,f04,288.40,688.58,296.92,1.24,1013.41,288.52,1013.43,58.41
12,2020040112,shgb,dsf,f04,288.21,499.17,295.80,1.06,1013.80,286.61,1013.81,61.77
13,2020040113,shgb,dsf,f04,287.80,280.41,294.43,0.88,1014.37,281.92,1014.35,65.51
14,2020040114,shgb,dsf,f04,288.00,62.28,293.07,0.65,1014.92,278.87,1014.97,72.24
15,2020040115,shgb,dsf,f04,288.22,0.00,291.84,0.45,1015.69,274.18,1015.76,79.21
16,2020040116,shgb,dsf,f04,287.94,0.00,291.32,0.41,1016.22,273.31,1016.32,80.39
17,2020040117,shgb,dsf,f04,287.43,0.00,291.56,0.50,1016.69,258.95,1016.75,76.57
18,2020040118,shgb,dsf,f04,287.12,0.00,291.23,0.49,1017.06,250.64,1017.14,76.61
