,Report_time,GHID,Reportid,TimeID,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,dsf,f00,292.41,9999.9,294.48,0.31,1014.22,0.00,1013.85,87.77
1,2020040101,shgb,dsf,f00,291.97,9999.9,294.54,0.38,1014.01,0.00,1013.63,85.07
2,2020040102,shgb,dsf,f00,291.93,9999.9,294.41,0.37,1013.96,0.00,1013.53,85.51
3,2020040103,shgb,dsf,f00,292.06,9999.9,293.94,0.28,1014.05,0.00,1013.64,88.77
4,2020040104,shgb,dsf,f00,291.60,9999.9,293.50,0.27,1014.57,0.00,1014.17,88.68
5,2020040105,shgb,dsf,f00,291.08,9999.9,293.08,0.28,1015.11,0.00,1014.86,88.09
6,2020040106,shgb,dsf,f00,290.79,9999.9,292.86,0.29,1016.00,0.00,1015.65,87.64
7,2020040107,shgb,dsf,f00,290.80,9999.9,293.05,0.31,1016.85,0.00,1016.55,86.71
8,2020040108,shgb,dsf,f00,290.59,9999.9,293.35,0.39,1016.64,0.00,1016.36,83.88
9,2020040109,shgb,dsf,f00,290.50,9999.9,294.17,0.52,1016.52,0.00,1016.26,79.26
10,2020040110,shgb,dsf,f00,290.44,9999.9,294.74,0.62,1016.68,0.00,1016.39,76.18
11,2020040111,shgb,dsf,f00,290.10,9999.9,295.09,0.72,1015.87,0.00,1015.52,72.94
12,2020040112,shgb,dsf,f00,289.60,9999.9,295.28,0.82,1015.08,0.00,1014.75,69.77
13,2020040113,shgb,dsf,f00,288.92,9999.9,294.88,0.83,1015.42,0.00,1015.12,68.48
14,2020040114,shgb,dsf,f00,288.54,9999.9,294.82,0.86,1014.53,0.00,1014.22,67.06
15,2020040115,shgb,dsf,f00,288.10,9999.9,294.69,0.89,1014.14,0.00,1013.83,65.69
16,2020040116,shgb,dsf,f00,287.76,9999.9,294.42,0.89,1014.04,0.00,1013.80,65.32
17,2020040117,shgb,dsf,f00,287.73,9999.9,293.91,0.81,1014.36,0.00,1014.13,67.33
18,2020040118,shgb,dsf,f00,287.67,9999.9,293.01,0.68,1015.39,0.00,1015.15,70.95
19,2020040119,shgb,dsf,f00,287.27,9999.9,292.21,0.61,1016.50,0.00,1016.26,72.70
20,2020040120,shgb,dsf,f00,287.36,9999.9,292.15,0.59,1016.55,0.00,1016.28,73.41
21,2020040121,shgb,dsf,f00,287.28,9999.9,292.27,0.62,1016.86,0.00,1016.59,72.50
22,2020040122,shgb,dsf,f00,287.46,9999.9,292.37,0.61,1017.35,0.00,1017.09,72.84
23,2020040123,shgb,dsf,f00,287.74,9999.9,292.32,0.57,1017.04,0.00,1016.77,74.46
24,2020040200,shgb,dsf,f00,287.84,9999.9,292.19,0.55,1016.55,0.00,1016.28,75.55
25,2020040201,shgb,dsf,f00,287.95,9999.9,291.86,0.49,1016.54,0.00,1016.27,77.74
26,2020040202,shgb,dsf,f00,288.10,9999.9,292.04,0.49,1016.18,0.00,1015.92,77.61
