,Report_time,GHID,Reportid,TimeID,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,dsf,f05,293.43,0.00,294.37,0.15,1014.48,271.75,1014.54,94.29
1,2020040101,shgb,dsf,f05,291.52,0.00,293.14,0.23,1014.78,280.72,1014.83,90.24
2,2020040102,shgb,dsf,f05,290.87,165.63,293.79,0.42,1015.13,275.57,1015.16,83.13
3,2020040103,shgb,dsf,f05,290.20,369.51,295.66,0.80,1015.34,282.16,1015.38,70.86
4,2020040104,shgb,dsf,f05,290.00,566.82,297.28,1.12,1015.45,285.43,1015.46,63.33
5,2020040105,shgb,dsf,f05,289.90,751.49,298.87,1.44,1015.29,287.78,1015.22,57.10
6,2020040106,shgb,dsf,f05,289.91,820.47,298.54,1.37,1014.79,284.11,1014.74,58.31
7,2020040107,shgb,dsf,f05,289.35,922.95,298.26,1.38,1014.42,287.49,1014.41,57.23
8,2020040108,shgb,dsf,f05,289.19,910.48,298.16,1.38,1014.15,289.53,1014.13,56.98
9,2020040109,shgb,dsf,f05,288.60,829.67,297.59,1.34,1013.98,288.80,1014.01,56.77
10,2020040110,shgb,dsf,f05,288.04,687.96,297.12,1.32,1013.81,288.32,1013.81,56.32
11,2020040111,shgb,dsf,f05,287.91,499.28,295.63,1.07,1014.61,286.10,1014.62,61.23
12,2020040112,shgb,dsf,f05,287.74,279.78,294.27,0.87,1015.08,283.17,1015.11,65.84
13,2020040113,shgb,dsf,f05,287.69,62.25,292.93,0.67,1015.24,279.10,1015.27,71.42
14,2020040114,shgb,dsf,f05,287.99,0.00,291.83,0.48,1015.98,274.22,1016.04,78.09
15,2020040115,shgb,dsf,f05,287.94,0.00,291.39,0.42,1016.62,272.65,1016.71,80.02
16,2020040116,shgb,dsf,f05,287.66,0.00,291.41,0.46,1016.96,259.87,1017.00,78.49
17,2020040117,shgb,dsf,f05,287.44,0.00,291.44,0.48,1017.59,245.88,1017.61,77.20
18,2020040118,shgb,dsf,f05,287.34,0.00,291.21,0.46,1017.00,247.29,1017.04,77.84
19,2020040119,shgb,dsf,f05,287.34,0.00,291.25,0.47,1016.73,266.85,1016.74,77.67
20,2020040120,shgb,dsf,f05,287.55,0.00,291.33,0.46,1017.14,255.26,1017.23,78.31
21,2020040121,shgb,dsf,f05,287.65,0.00,291.46,0.46,1017.05,263.28,1017.11,78.18
22,2020040122,shgb,dsf,f05,287.51,0.00,291.15,0.44,1017.00,269.37,1016.96,79.01
23,2020040123,shgb,dsf,f05,287.77,0.00,291.08,0.40,1017.29,270.67,1017.35,80.75
24,2020040200,shgb,dsf,f05,288.03,0.00,291.20,0.39,1017.33,268.29,1017.31,81.48
25,2020040201,shgb,dsf,f05,288.21,0.00,291.42,0.40,1017.37,265.04,1017.36,81.28
26,2020040202,shgb,dsf,f05,288.42,229.81,293.02,0.60,1017.53,267.90,1017.51,74.49
27,2020040203,shgb,dsf,f05,289.29,74.21,293.33,0.54,1018.30,248.01,1018.31,77.28
28,2020040204,shgb,dsf,f05,289.59,71.96,293.16,0.48,1018.49,244.82,1018.44,79.65
29,2020040205,shgb,dsf,f05,289.94,192.92,293.59,0.50,1018.84,263.12,1018.81,79.29
30,2020040206,shgb,dsf,f05,289.90,257.29,293.93,0.56,1018.28,251.81,1018.22,77.37
31,2020040207,shgb,dsf,f05,290.63,122.66,293.35,0.38,1017.97,254.68,1017.87,84.12
32,2020040208,shgb,dsf,f05,290.58,98.22,293.74,0.45,1017.84,238.94,1017.77,81.85
33,2020040209,shgb,dsf,f05,290.70,677.05,296.61,0.91,1017.48,266.45,1017.44,68.99
34,2020040210,shgb,dsf,f05,290.45,154.01,294.69,0.61,1017.59,254.41,1017.62,76.49
35,2020040211,shgb,dsf,f05,290.71,63.85,293.44,0.38,1018.08,248.38,1018.02,84.03
36,2020040212,shgb,dsf,f05,290.72,44.71,293.22,0.35,1018.23,257.73,1018.22,85.32
37,2020040213,shgb,dsf,f05,289.42,62.25,293.91,0.62,1017.40,270.59,1017.44,75.13
38,2020040214,shgb,dsf,f05,289.80,0.00,293.19,0.46,1017.36,270.44,1017.37,80.58
39,2020040215,shgb,dsf,f05,290.09,0.00,293.58,0.48,1017.98,258.30,1018.02,80.10
40,2020040216,shgb,dsf,f05,290.12,0.00,292.68,0.35,1018.27,269.53,1018.26,84.92
41,2020040217,shgb,dsf,f05,289.98,0.00,292.56,0.35,1018.44,269.13,1018.40,84.82
42,2020040218,shgb,dsf,f05,290.11,0.00,292.08,0.26,1018.02,268.03,1018.01,88.19
43,2020040219,shgb,dsf,f05,290.29,0.00,292.80,0.34,1017.85,255.16,1017.86,85.24
44,2020040220,shgb,dsf,f05,290.28,0.00,292.62,0.32,1017.41,260.47,1017.39,86.12
45,2020040221,shgb,dsf,f05,290.29,0.00,292.43,0.29,1017.52,263.52,1017.57,87.23
46,2020040222,shgb,dsf,f05,290.30,0.00,291.95,0.22,1017.18,266.27,1017.17,89.98
47,2020040223,shgb,dsf,f05,289.82,0.00,292.16,0.31,1017.70,263.99,1017.71,86.11
48,2020040300,shgb,dsf,f05,289.81,0.00,292.14,0.31,1017.99,263.75,1017.99,86.19
49,2020040301,shgb,dsf,f05,289.77,0.00,291.93,0.28,1018.64,242.22,1018.63,87.09
50,2020040302,shgb,dsf,f05,289.67,21.31,292.26,0.34,1018.46,248.63,1018.45,84.70
51,2020040303,shgb,dsf,f05,289.55,394.43,295.82,0.91,1018.20,258.58,1018.23,67.27
52,2020040304,shgb,dsf,f05,289.78,296.39,296.38,0.98,1018.35,245.79,1018.42,66.03
53,2020040305,shgb,dsf,f05,290.37,572.91,299.55,1.51,1017.77,261.65,1017.76,56.60
