,Report_time,GHID,Reportid,TimeID,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,dsf,f06,292.47,0.00,293.97,0.22,1014.49,269.43,1014.48,90.97
1,2020040101,shgb,dsf,f06,291.28,40.15,293.69,0.35,1015.04,262.38,1015.05,85.89
2,2020040102,shgb,dsf,f06,290.34,182.38,294.64,0.62,1015.26,276.69,1015.26,76.16
3,2020040103,shgb,dsf,f06,289.75,280.99,295.39,0.81,1015.35,266.65,1015.29,70.02
4,2020040104,shgb,dsf,f06,289.86,786.91,298.63,1.39,1015.20,287.05,1015.16,57.83
5,2020040105,shgb,dsf,f06,289.63,869.87,299.16,1.52,1015.36,289.43,1015.31,55.20
6,2020040106,shgb,dsf,f06,289.50,923.24,298.58,1.42,1014.94,289.11,1014.87,56.67
7,2020040107,shgb,dsf,f06,289.11,910.10,297.95,1.35,1014.31,288.79,1014.34,57.43
8,2020040108,shgb,dsf,f06,288.62,829.55,297.57,1.33,1013.77,288.80,1013.76,56.91
9,2020040109,shgb,dsf,f06,288.16,688.22,297.19,1.32,1013.64,288.25,1013.60,56.52
10,2020040110,shgb,dsf,f06,287.73,498.89,295.88,1.13,1013.85,286.37,1013.85,59.58
11,2020040111,shgb,dsf,f06,287.73,279.91,294.41,0.89,1014.41,283.19,1014.41,65.26
12,2020040112,shgb,dsf,f06,287.84,62.40,292.96,0.66,1014.95,280.40,1014.97,71.97
13,2020040113,shgb,dsf,f06,287.65,0.00,291.88,0.52,1015.66,274.43,1015.69,76.10
14,2020040114,shgb,dsf,f06,287.64,0.00,291.35,0.45,1016.41,273.07,1016.46,78.70
15,2020040115,shgb,dsf,f06,287.44,0.00,290.93,0.42,1016.91,270.52,1016.94,79.76
16,2020040116,shgb,dsf,f06,287.39,0.00,291.21,0.46,1017.46,250.27,1017.53,78.08
17,2020040117,shgb,dsf,f06,287.20,0.00,291.30,0.49,1017.49,265.38,1017.48,76.68
18,2020040118,shgb,dsf,f06,287.39,0.00,291.21,0.46,1017.33,257.49,1017.33,78.07
19,2020040119,shgb,dsf,f06,287.33,0.00,291.31,0.48,1017.13,260.95,1017.18,77.27
20,2020040120,shgb,dsf,f06,287.44,0.00,290.95,0.42,1016.66,265.64,1016.71,79.68
21,2020040121,shgb,dsf,f06,287.54,0.00,291.03,0.42,1016.90,267.13,1016.98,79.80
22,2020040122,shgb,dsf,f06,287.56,0.00,290.89,0.40,1016.86,270.37,1016.87,80.60
23,2020040123,shgb,dsf,f06,287.70,0.00,290.72,0.36,1016.58,269.87,1016.60,82.28
24,2020040200,shgb,dsf,f06,288.00,0.00,291.55,0.44,1017.20,260.36,1017.17,79.54
25,2020040201,shgb,dsf,f06,288.40,74.79,292.28,0.50,1017.53,250.83,1017.46,77.91
26,2020040202,shgb,dsf,f06,289.03,65.98,293.34,0.58,1017.72,249.07,1017.70,75.93
27,2020040203,shgb,dsf,f06,288.93,606.39,295.93,1.01,1018.16,270.43,1018.14,64.18
28,2020040204,shgb,dsf,f06,289.15,145.45,293.93,0.65,1018.35,249.57,1018.33,73.71
