,AirTemp,RH,PAR,AirTemp,RH,PAR,AirTemp,RH,PAR,AirTemp,RH,PAR,AirTemp,RH,PAR,AirTemp,RH,PAR
0,20.718333333333327,84.03333333333333,0.6615000000000001,20.533333333333328,84.10000000000002,0.6635000000000001,20.255,84.2,0.6655000000000001,20.215,82.93333333333334,0.6651666666666667,19.95,82.39999999999998,0.6846666666666668,19.728333333333328,81.33333333333333,11.7755
1,20.533333333333328,84.10000000000002,0.6635000000000001,20.255,84.2,0.6655000000000001,20.215,82.93333333333334,0.6651666666666667,19.95,82.39999999999998,0.6846666666666668,19.728333333333328,81.33333333333333,11.7755,19.99333333333333,79.57333333333334,88.05166666666666
2,20.255,84.2,0.6655000000000001,20.215,82.93333333333334,0.6651666666666667,19.95,82.39999999999998,0.6846666666666668,19.728333333333328,81.33333333333333,11.7755,19.99333333333333,79.57333333333334,88.05166666666666,21.231666666666666,73.93166666666666,216.2333333333333
3,20.215,82.93333333333334,0.6651666666666667,19.95,82.39999999999998,0.6846666666666668,19.728333333333328,81.33333333333333,11.7755,19.99333333333333,79.57333333333334,88.05166666666666,21.231666666666666,73.93166666666666,216.2333333333333,22.55333333333333,67.465,408.2833333333333
4,19.95,82.39999999999998,0.6846666666666668,19.728333333333328,81.33333333333333,11.7755,19.99333333333333,79.57333333333334,88.05166666666666,21.231666666666666,73.93166666666666,216.2333333333333,22.55333333333333,67.465,408.2833333333333,25.570000000000004,59.97833333333333,820.8166666666666
5,19.728333333333328,81.33333333333333,11.7755,19.99333333333333,79.57333333333334,88.05166666666666,21.231666666666666,73.93166666666666,216.2333333333333,22.55333333333333,67.465,408.2833333333333,25.570000000000004,59.97833333333333,820.8166666666666,25.756666666666664,57.651666666666664,997.5
6,19.99333333333333,79.57333333333334,88.05166666666666,21.231666666666666,73.93166666666666,216.2333333333333,22.55333333333333,67.465,408.2833333333333,25.570000000000004,59.97833333333333,820.8166666666666,25.756666666666664,57.651666666666664,997.5,25.34166666666667,55.59166666666667,938.8333333333336
7,21.231666666666666,73.93166666666666,216.2333333333333,22.55333333333333,67.465,408.2833333333333,25.570000000000004,59.97833333333333,820.8166666666666,25.756666666666664,57.651666666666664,997.5,25.34166666666667,55.59166666666667,938.8333333333336,25.40166666666667,53.92000000000001,904.1666666666664
8,22.55333333333333,67.465,408.2833333333333,25.570000000000004,59.97833333333333,820.8166666666666,25.756666666666664,57.651666666666664,997.5,25.34166666666667,55.59166666666667,938.8333333333336,25.40166666666667,53.92000000000001,904.1666666666664,25.135,53.93833333333334,778.4166666666665
9,25.570000000000004,59.97833333333333,820.8166666666666,25.756666666666664,57.651666666666664,997.5,25.34166666666667,55.59166666666667,938.8333333333336,25.40166666666667,53.92000000000001,904.1666666666664,25.135,53.93833333333334,778.4166666666665,25.30833333333333,52.58333333333334,559.7833333333333
10,25.756666666666664,57.651666666666664,997.5,25.34166666666667,55.59166666666667,938.8333333333336,25.40166666666667,53.92000000000001,904.1666666666664,25.135,53.93833333333334,778.4166666666665,25.30833333333333,52.58333333333334,559.7833333333333,22.868333333333336,56.40833333333333,280.70000000000005
11,25.34166666666667,55.59166666666667,938.8333333333336,25.40166666666667,53.92000000000001,904.1666666666664,25.135,53.93833333333334,778.4166666666665,25.30833333333333,52.58333333333334,559.7833333333333,22.868333333333336,56.40833333333333,280.70000000000005,20.686666666666667,61.99833333333334,86.85166666666667
12,25.40166666666667,53.92000000000001,904.1666666666664,25.135,53.93833333333334,778.4166666666665,25.30833333333333,52.58333333333334,559.7833333333333,22.868333333333336,56.40833333333333,280.70000000000005,20.686666666666667,61.99833333333334,86.85166666666667,18.466666666666665,68.45,6.310666666666667
13,25.135,53.93833333333334,778.4166666666665,25.30833333333333,52.58333333333334,559.7833333333333,22.868333333333336,56.40833333333333,280.70000000000005,20.686666666666667,61.99833333333334,86.85166666666667,18.466666666666665,68.45,6.310666666666667,18.1,71.69666666666666,0.6635000000000001
14,25.30833333333333,52.58333333333334,559.7833333333333,22.868333333333336,56.40833333333333,280.70000000000005,20.686666666666667,61.99833333333334,86.85166666666667,18.466666666666665,68.45,6.310666666666667,18.1,71.69666666666666,0.6635000000000001,17.99166666666667,71.68333333333334,0.6653333333333334
15,22.868333333333336,56.40833333333333,280.70000000000005,20.686666666666667,61.99833333333334,86.85166666666667,18.466666666666665,68.45,6.310666666666667,18.1,71.69666666666666,0.6635000000000001,17.99166666666667,71.68333333333334,0.6653333333333334,18.043333333333333,70.45333333333333,0.6606666666666667
16,20.686666666666667,61.99833333333334,86.85166666666667,18.466666666666665,68.45,6.310666666666667,18.1,71.69666666666666,0.6635000000000001,17.99166666666667,71.68333333333334,0.6653333333333334,18.043333333333333,70.45333333333333,0.6606666666666667,17.978333333333335,70.86,0.6611666666666668
17,18.466666666666665,68.45,6.310666666666667,18.1,71.69666666666666,0.6635000000000001,17.99166666666667,71.68333333333334,0.6653333333333334,18.043333333333333,70.45333333333333,0.6606666666666667,17.978333333333335,70.86,0.6611666666666668,18.041666666666668,71.965,0.6623333333333333
18,18.1,71.69666666666666,0.6635000000000001,17.99166666666667,71.68333333333334,0.6653333333333334,18.043333333333333,70.45333333333333,0.6606666666666667,17.978333333333335,70.86,0.6611666666666668,18.041666666666668,71.965,0.6623333333333333,17.955000000000005,73.84166666666668,0.6616666666666667
